User id,Gender,Age,Estimated Salary,purchased
7656789,Female,35,65000,0
8876543,Female,26,80000,0
1234567,Female,26,52000,0
7654321,Male,20,86000,0
9876543,Male,32,18000,0
2345678,Male,18,82000,0
8765432,Male,29,80000,0
5432109,Male,47,25000,1
8901234,Male,45,26000,1
2109876,Male,46,28000,1
9012345,Female,48,29000,1
5432678,Male,45,22000,1
7654329,Female,47,49000,1
9876541,Male,48,41000,1
4567890,Female,45,22000,1
9870321,Male,46,23000,1
1098765,Male,47,20000,1
8765430,Male,49,28000,1
5432789,Female,47,30000,1
3456789,Male,29,43000,0
6789012,Male,31,18000,0
8765098,Male,31,74000,0
9876540,Female,27,137000,1
6543210,Female,21,16000,0
8901236,Female,28,44000,0
5432901,Male,27,90000,0
8765438,Male,35,27000,0
2345670,Female,33,28000,0
5432987,Male,30,49000,0
9876542,Female,26,72000,0
7654328,Female,27,31000,0
8901237,Female,27,17000,0
9876549,Female,33,51000,0
5678901,Male,35,108000,0
2109875,Male,30,15000,0
8765439,Female,28,84000,0
9876548,Male,23,20000,0
8901235,Male,25,79000,0
5432108,Female,27,54000,0
8765431,Male,30,135000,1
1234567,Female,31,89000,0
9870321,Female,24,32000,0
1098765,Female,18,44000,0
8765430,Female,29,83000,0
5432789,Female,35,23000,0
3456789,Female,27,58000,0
6789012,Female,24,55000,0
8765098,Female,23,48000,0
9876540,Male,28,79000,0
6543210,Male,22,18000,0
8901236,Female,32,117000,0
5432901,Male,27,20000,0
8765438,Male,25,87000,0
2345670,Female,23,66000,0
5432987,Male,32,120000,1
9876542,Female,59,83000,0
7654328,Male,24,58000,0
8901237,Male,24,19000,0
9876549,Female,23,82000,0
5678901,Female,22,63000,0
2109875,Female,31,68000,0
8765439,Male,25,80000,0
9876548,Female,24,27000,0
8901235,Female,20,23000,0
5432108,Female,33,113000,0
8765431,Male,32,18000,0
1234567,Male,34,112000,1
9870321,Male,18,52000,0
1098765,Female,22,27000,0
8765430,Female,28,87000,0
