,title,views,topics,publishedAt
0,Axis Bank | Finding the familiar in the new | 30 Sec,59803294,"['Entertainment', 'Society', 'Knowledge']",2023-03-10T06:46:42Z
1,Gaslight | Official Trailer | Sara Ali Khan | Vikrant Massey | Chitrangada Singh,56179178,"['Movies', 'TV shows', 'Entertainment']",2023-03-14T08:43:17Z
2,Bholaa Official Trailer | Ajay Devgn | Tabu | Bholaa In IMAX 3D | 30th March 2023,47115319,"['Entertainment', 'Movies']",2023-03-06T08:49:00Z
3,NMIXX &quot;Love Me Like This&quot; M/V,46085530,"['Pop music', 'Entertainment', 'Music of Asia', 'Music']",2023-03-20T09:00:07Z
4,Tere Mere Song | Javed-Mohsin | Stebin Ben | Asees Kaur | Rashmi Virag | Gurmeet &amp; Tridha | Ashish P,34146614,"['Music', 'Music of Asia']",2023-03-16T05:30:01Z
5,"Aadha Main Aadhi Vo | Bholaa: Ajay Devgn, Tabu | B Praak, Irshad Kamil, Ravi Basrur | Bhushan Kumar",33087032,"['Music', 'Entertainment', 'Music of Asia', 'TV shows']",2023-03-15T09:45:02Z
6,"TATA IPL 2023 | Virat Roars! Shor On, Game On",32769806,"['Entertainment', 'Sports', 'Cricket', 'Lifestyle']",2023-03-20T12:37:31Z
7,Teri Ashhiqui Ne Maara 2.0 (Studio Version)|Himesh Ke Dil Se The Album|Himesh Reshammiya| Amarjeet |,30916553,"['Music', 'Music of Asia']",2023-03-12T07:30:15Z
8,"Aalam Na Poocho - Bad Boy | Namashi C, Amrin Q | Payal Dev, Raj Barman, Aakritti, Himesh R, Shabbir",29177313,"['Music', 'Music of Asia', 'Movies', 'Entertainment']",2023-03-20T06:30:22Z
9,ABC Song|Nursery Rhymes and Kids Songs|#abcdsong #abcd #nurseryrhymes #youtubeshorts #viralvideo,27737615,"['Music', 'Entertainment', 'Movies']",2023-02-26T12:29:05Z
10,Deewaane (Selfiee) - Akshay K | Jacqueline F | Emraan H | Aditya Y | Stebin B | Tanishk B | Kunaal V,26482945,"['Music of Asia', 'Music', 'Entertainment']",2023-03-03T06:58:06Z
