date,Uruguay national football team, Japan, South Korea national football team
2023-03-21 20:00:00,0,97,0
2023-03-21 21:00:00,0,100,0
2023-03-21 22:00:00,0,93,1
2023-03-21 23:00:00,0,86,0
2023-03-22 00:00:00,0,61,0
2023-03-22 01:00:00,0,45,0
2023-03-22 02:00:00,0,43,0
2023-03-22 03:00:00,0,42,0
2023-03-22 04:00:00,0,37,0
2023-03-22 05:00:00,0,38,0
2023-03-22 06:00:00,0,40,0
2023-03-22 07:00:00,0,38,0
2023-03-22 08:00:00,0,36,0
2023-03-22 09:00:00,0,40,0
2023-03-22 10:00:00,0,37,0
2023-03-22 11:00:00,0,35,0
2023-03-22 12:00:00,0,34,0
2023-03-22 13:00:00,0,32,0
2023-03-22 14:00:00,0,31,0
2023-03-22 15:00:00,0,34,0
2023-03-22 16:00:00,0,46,0
2023-03-22 17:00:00,0,70,0
2023-03-22 18:00:00,0,80,0
2023-03-22 19:00:00,0,88,0
2023-03-22 20:00:00,0,96,0
2023-03-22 21:00:00,1,89,0
2023-03-22 22:00:00,0,96,0
2023-03-22 23:00:00,0,77,0
2023-03-23 00:00:00,0,61,0
2023-03-23 01:00:00,0,51,0
2023-03-23 02:00:00,0,44,0
2023-03-23 03:00:00,0,41,0
2023-03-23 04:00:00,0,38,0
2023-03-23 05:00:00,0,35,0
2023-03-23 06:00:00,0,36,0
2023-03-23 07:00:00,0,38,0
2023-03-23 08:00:00,0,43,0
2023-03-23 09:00:00,0,47,0
2023-03-23 10:00:00,0,41,0
2023-03-23 11:00:00,0,39,0
2023-03-23 12:00:00,0,32,0
2023-03-23 13:00:00,0,32,0
2023-03-23 14:00:00,0,34,0
2023-03-23 15:00:00,0,37,0
2023-03-23 16:00:00,0,50,0
2023-03-23 17:00:00,0,66,0
2023-03-23 18:00:00,0,72,0
2023-03-23 19:00:00,0,84,0
2023-03-23 20:00:00,1,88,0
2023-03-23 21:00:00,1,79,0
2023-03-23 22:00:00,0,63,0
2023-03-23 23:00:00,1,57,1
2023-03-24 00:00:00,1,55,0
2023-03-24 01:00:00,0,44,0
2023-03-24 02:00:00,0,38,0
2023-03-24 03:00:00,0,36,0
2023-03-24 04:00:00,0,34,0
2023-03-24 05:00:00,0,35,0
2023-03-24 06:00:00,0,38,0
2023-03-24 07:00:00,0,41,0
2023-03-24 08:00:00,0,40,0
